,HFD,SVD Entropy,PFD,Power Delta,Power Theta,Power Beta,Power Delta Normalized,Power Theta Normalized,Power Alpha Normalized,Power Beta Normalized,Hjorth Mobility
0,1.1074767099703293,1.7161682653746566,0.542426826658411,1398507.552671596,764331.187481617,4256401.285615315,0.18325122956133436,0.10015293062272916,0.15886501626377228,0.5577308235521641,0.01784350937970831
1,0.8097977207471578,1.5066880845974426,0.5456315522846248,2788157.7487871815,1036937.9300156925,2919183.225504307,0.35981980174083417,0.13381983159241856,0.12963134912710755,0.3767290175396398,0.008030880259453399
2,0.6412557765000941,0.9350245947372859,0.5474199637838891,6536140.086680986,827535.1801858792,3654025.047250462,0.5457127602456368,0.06909223201929941,0.08011462878096025,0.3050803789541036,0.002888880820595386
3,0.5443910616750834,1.4202785621506702,0.5514292749735444,2984003.1118469164,469989.39267767733,1144747.752165034,0.5902906975428142,0.09297254595345152,0.09028459683496355,0.2264521596687707,0.002018390870790279
4,1.1211809317338708,1.4686030755540818,0.5425298571049482,1210723.5019240892,427057.22518991726,2890816.022349591,0.2309322310028831,0.08145648252658737,0.13621983136195592,0.5513914551085736,0.01699019001603392
5,0.7868130110575828,1.071276275502746,0.5480451761017391,1129966.5880152308,398268.8595824831,1483970.143948965,0.3272005107222432,0.1153253340782828,0.12776606104287283,0.4297080941566011,0.006138183675439839
6,0.5835637874665659,1.2022597885238686,0.5492265998815049,3323416.577442869,1045664.1167635301,1140783.5277326168,0.5398022787290045,0.16984084295818572,0.10506636974815937,0.1852905085646504,0.0018532996623244651
7,0.6914329064701606,1.4949037948635837,0.5473003134663059,3250590.070822433,601998.964702803,1180023.470997654,0.5877242550561663,0.1088446667730763,0.09007645629270002,0.21335462187805734,0.00428944467234967
8,0.6944222793086817,1.3108630715958274,0.5494170572110876,453147.6221682769,157228.28153923393,549219.7401293998,0.34105162523509813,0.11833441979745035,0.12725575596365896,0.4133581990037926,0.004955413243362082
9,0.8311105833586555,1.0389648369721944,0.5468064021702682,665798.8039874493,239530.1733319488,1114165.9862677814,0.285455915294682,0.10269664718480659,0.13415767674667414,0.4776897607738373,0.006449261863034285
10,1.1506049761809667,1.1680801188897831,0.5432252296485272,471516.57162047864,287015.65646751295,1798492.366852554,0.15704656368480815,0.09559541548466041,0.1483397401858986,0.5990182806446328,0.012475730147839068
11,0.9399397482100623,1.0886357647267448,0.5434898862380286,666432.0035993465,409065.1329608689,2586981.4842552203,0.15459958415145,0.09489535182141116,0.1503744287736098,0.600130635253529,0.012305162091456398
12,1.056062656194936,1.0615066094095795,0.5421706767119361,438781.4580093094,195620.00168454912,1466441.9884950602,0.180581896156197,0.08050803010350735,0.1353912375366849,0.6035188362036109,0.009333651173817983
13,0.9066704072047141,0.7784924770085948,0.546204088232842,1121384.6970946202,228147.6320843339,1089349.588606803,0.41031225789440523,0.08347872973148511,0.10761833203429759,0.3985906803398121,0.002686710240200656
14,1.0444181881872792,1.1931547483939573,0.5426332164792144,1457995.4519770164,528482.0617233483,2840996.0331077958,0.2627113690282534,0.09522543143324112,0.1301535387439314,0.5119096607945741,0.011185293459318927
15,1.1455536803795086,0.8043341971600927,0.542324123169097,1158057.1792045168,302818.1697266059,1405500.101326601,0.35459629603583404,0.09272271118008553,0.12231784754564869,0.43036314523843183,0.005229671154630488
16,1.0560903122047736,0.9885246554838745,0.5454429105652463,803089.9042622393,262990.61344919616,1207082.7089195265,0.3107968165760931,0.10177770261536484,0.1202829338967178,0.46714254691182433,0.00632939466398167
